word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
us,PRP,__UNDEF__,+,689,926.964856
old,JJ,__UNDEF__,+,687,924.274102
looked,VBD,__UNDEF__,+,685,921.583347
do,VB,__UNDEF__,+,681,916.201839
What,WP,__UNDEF__,+,669,900.057313
We,PRP,__UNDEF__,+,637,857.005244
should,MD,__UNDEF__,+,622,836.824587
There,EX,__UNDEF__,+,615,827.406947
When,WRB,__UNDEF__,+,610,820.680061
two,Z,__UNDEF__,+,610,820.680061
himself,PRP,__UNDEF__,+,609,819.334684
must,MD,__UNDEF__,+,607,816.64393
first,JJ,__UNDEF__,+,603,811.262421
saw,VBD,__UNDEF__,+,594,799.154027
long,JJ,__UNDEF__,+,577,776.282615
off,RP,__UNDEF__,+,569,765.519598
people,NNS,__UNDEF__,+,569,765.519598
took,VBD,__UNDEF__,+,559,752.065827
door,NN,__UNDEF__,+,559,752.065827
got,VBD,__UNDEF__,+,558,750.720449
through,IN,__UNDEF__,+,557,749.375072
to,__UNDEF__,__UNDEF__,+,552,742.648187
something,PRP,__UNDEF__,+,551,741.302809
Smidge,NP,__UNDEF__,+,548,737.266678
even,RB,__UNDEF__,+,527,709.013758
Bilbo,NP,__UNDEF__,+,525,706.323004
know,VB,__UNDEF__,+,518,696.905363
our,PRP$,__UNDEF__,+,512,688.833101
because,IN,__UNDEF__,+,509,684.796969
In,IN,__UNDEF__,+,508,683.451592
asked,VBD,__UNDEF__,+,507,682.106215
If,IN,__UNDEF__,+,506,680.760838
and,__UNDEF__,__UNDEF__,+,501,674.033952
back,RB,__UNDEF__,+,499,671.343198
...,Fs,__UNDEF__,+,497,668.652443
began,VBD,__UNDEF__,+,497,668.652443
great,JJ,__UNDEF__,+,489,657.889426
Pippi,NP,__UNDEF__,+,487,655.198672
take,VB,__UNDEF__,+,487,655.198672
head,NN,__UNDEF__,+,484,651.16254
I,__UNDEF__,__UNDEF__,+,479,644.435655
come,VB,__UNDEF__,+,479,644.435655
This,DT,__UNDEF__,+,473,636.363392
know,VBP,__UNDEF__,+,471,633.672637
such,DT,__UNDEF__,+,469,630.981883
Karlson,NP,__UNDEF__,+,463,622.90962
without,IN,__UNDEF__,+,460,618.873489
sat,VBD,__UNDEF__,+,458,616.182735
many,DT,__UNDEF__,+,457,614.837357
Salander,NP,__UNDEF__,+,456,613.49198
A,DT,__UNDEF__,+,455,612.146603
think,VBP,__UNDEF__,+,455,612.146603
home,NN,__UNDEF__,+,445,598.692832
also,RB,__UNDEF__,+,444,597.347454
geese,NNS,__UNDEF__,+,443,596.002077
house,NN,__UNDEF__,+,443,596.002077
once,RB,__UNDEF__,+,437,587.929814
tell,VB,__UNDEF__,+,432,581.202929
anything,PRP,__UNDEF__,+,431,579.857551
about,RB,__UNDEF__,+,431,579.857551
night,NN,__UNDEF__,+,426,573.130666
might,MD,__UNDEF__,+,425,571.785289
big,JJ,__UNDEF__,+,422,567.749157
'd,MD,__UNDEF__,+,419,563.713026
another,DT,__UNDEF__,+,417,561.022271
eyes,NNS,__UNDEF__,+,416,559.676894
nothing,PRP,__UNDEF__,+,416,559.676894
a,__UNDEF__,__UNDEF__,+,415,558.331517
wild,JJ,__UNDEF__,+,415,558.331517
